Metric,Baseline,Fine-tuned
mIoU,0.7238699731534969,0.6293104986035911
Pixel Accuracy,0.960932032108545,0.9009107849075962
Mean Accuracy,0.8103298481588264,0.7371679452624595
FWIoU,0.9284046258257502,0.8249034986942274
Precision,0.7706374653685804,0.7477600976037126
Recall,0.8593536472320557,0.8056771373748779
F1-Score,0.8119508200370623,0.7680174194103254
