Metric,Baseline,Fine-tuned
mIoU,0.32651270851818853,0.4253438929918078
Pixel Accuracy,0.7822393486580699,0.8696109792067864
Mean Accuracy,0.651586494212959,0.697601691152588
FWIoU,0.6634062961019953,0.7758906933706706
Precision,0.7779388909321636,0.825500807483432
Recall,0.7576813346228239,0.8423099764264991
F1-Score,0.7484390057925921,0.8261498454636282
